dataset,batch_size,learning_rate,momentum,weight_decay,gamma,decay_period,gpu,epochs,seed,k,model,use_project_head,norm_type,save_feat,sampling_size,select_size,attack_epoch,interpolate,classifier,property,attack_feat,begin_range,end_range,target_num,aligned,use_MR,act_weight,use_LR,defense,d_para,d_para2,out_para,defend_scope,defend_side,adaptive_noise,norm_threshold,sigma_low,sigma_high,sigma_alpha,curriculum,warmup_epochs,val_ratio,n_seeds,log_norms,out_csv,device,accuracy,auc,precision,recall,gnd_frac,pred_frac,used_time
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_grad,0,100,100,1,1,1.0,1,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,5,1,res_s1_active_adult.csv,cuda,0.8389,0.8926,0.7195,0.5411,0.6635,0.6705,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_output,0,100,100,1,1,1.0,1,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,5,1,res_s1_active_adult.csv,cuda,0.8389,0.8926,0.7195,0.5411,0.6635,0.6082,8
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_grad,0,100,100,1,1,1.0,1,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,5,1,res_s1_active_adult.csv,cuda,0.8389,0.8926,0.7195,0.5411,0.6635,0.6776,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_output,0,100,100,1,1,1.0,1,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,5,1,res_s1_active_adult.csv,cuda,0.8389,0.8926,0.7195,0.5411,0.6635,0.6497,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,en-DT,sex,all,0,100,100,1,1,1.0,1,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,5,1,res_s1_active_adult.csv,cuda,0.8389,0.8926,0.7195,0.5411,0.6635,0.6757,8
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,en-XGB,sex,all,0,100,100,1,1,1.0,1,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,5,1,res_s1_active_adult.csv,cuda,0.8389,0.8926,0.7195,0.5411,0.6635,0.6720,28
adult,64,0.01,0.0,3e-05,0.97,1,0,20,2,3,mlp2,1,1,0,2000,0,18,200,DT,sex,b_grad,0,100,100,1,1,1.0,1,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,5,1,res_s1_active_adult.csv,cuda,0.8398,0.8938,0.7195,0.5467,0.6635,0.6869,2
adult,64,0.01,0.0,3e-05,0.97,1,0,20,2,3,mlp2,1,1,0,2000,0,18,200,DT,sex,b_output,0,100,100,1,1,1.0,1,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,5,1,res_s1_active_adult.csv,cuda,0.8398,0.8938,0.7195,0.5467,0.6635,0.6751,2
adult,64,0.01,0.0,3e-05,0.97,1,0,20,2,3,mlp2,1,1,0,2000,0,18,200,DT,sex,a_grad,0,100,100,1,1,1.0,1,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,5,1,res_s1_active_adult.csv,cuda,0.8398,0.8938,0.7195,0.5467,0.6635,0.6844,2
adult,64,0.01,0.0,3e-05,0.97,1,0,20,2,3,mlp2,1,1,0,2000,0,18,200,DT,sex,a_output,0,100,100,1,1,1.0,1,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,5,1,res_s1_active_adult.csv,cuda,0.8398,0.8938,0.7195,0.5467,0.6635,0.6915,2
